"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","LicenseIssuedDate","LicenseExpiredDate","issued_year","expired_year"
17435,"Pomeranian",8901,"manhattan","manhattan","new brunswick",2015-05-14,2016-06-21,2015,2016
17477,"Poodle, Toy",32163,"the villages","not nyc","not nyc",2015-05-15,2017-06-12,2015,2017
17796,"Pekingese",10705,"bronx","bronx","yonkers",2015-05-18,2017-05-18,2015,2017
17869,"Labrador Retriever",10901,"manhattan","manhattan","suffern",2015-05-18,2016-05-18,2015,2016
17996,"Havanese",11023,"queens","queens","great neck",2015-05-19,2016-05-19,2015,2016
18000,"Chihuahua",11757,"queens","queens","lindenhurst",2015-05-19,2016-05-19,2015,2016
18122,"Siberian Husky",22223,"brooklyn","brooklyn","arlington",2015-05-20,2016-05-11,2015,2016
18145,"American Pit Bull Mix / Pit Bull Mix",10463,"manhattan","manhattan","bronx",2015-05-20,2016-05-20,2015,2016
18206,"Havanese",11023,"queens","queens","great neck",2015-05-21,2016-05-21,2015,2016
18276,"Jack Russell Terrier",11003,"queens","queens","elmont",2015-05-21,2016-06-14,2015,2016
18428,"Unknown",10009,"new york","unknown","new york",2015-05-23,2016-04-17,2015,2016
18550,"Labrador Retriever Crossbreed",11040,"queens","queens","new hyde park",2015-05-25,2016-04-13,2015,2016
18634,"Maltese",10036,"new york","unknown","new york",2015-05-26,2016-02-28,2015,2016
19465,"Maltese",11223,"staten island","staten","brooklyn",2015-06-01,2016-06-01,2015,2016
20014,"Poodle, Miniature",11377,"brooklyn","brooklyn","queens",2015-06-05,2016-06-05,2015,2016
20605,"Yorkshire Terrier",11001,"queens","queens","not nyc",2015-06-10,2016-07-06,2015,2016
20701,"American Pit Bull Terrier/Pit Bull",53494,"bronx","bronx",NA,2015-06-11,2016-06-15,2015,2016
21568,"Yorkshire Terrier",14432,"bronx","bronx","clifton springs",2015-06-17,2016-06-17,2015,2016
21663,"Yorkshire Terrier",14432,"bronx","bronx","clifton springs",2015-06-17,2016-06-17,2015,2016
22250,"Pomeranian",11229,"bronx","bronx","brooklyn",2015-06-22,2016-06-22,2015,2016
22374,"Bull Dog, English",11783,"manhattan","manhattan","seaford",2015-06-23,2018-07-10,2015,2018
22621,"Pekingese",11784,"staten island","staten","selden",2015-06-24,2016-06-24,2015,2016
23074,"German Shepherd Dog",10533,"bronx","bronx","irvington",2015-06-28,2016-07-12,2015,2016
23247,"Unknown",10009,"brooklyn","brooklyn","new york",2015-06-29,2017-07-13,2015,2017
23354,"Unknown",10023,"brooklyn","brooklyn","new york",2015-06-30,2016-07-13,2015,2016
23523,"Shiba Inu",11385,"brooklyn","brooklyn","queens",2015-07-01,2016-07-01,2015,2016
23817,"Rat Terrier",10457,"manhattan","manhattan","bronx",2015-07-03,2016-07-03,2015,2016
23912,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015-07-05,2016-07-05,2015,2016
23921,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015-07-05,2016-07-05,2015,2016
24020,"Unknown",11379,"brooklyn","brooklyn","queens",2015-07-06,2016-08-18,2015,2016
24202,"Labrador Retriever Crossbreed",11694,"brooklyn","brooklyn","queens",2015-07-07,2016-07-07,2015,2016
24340,"Morkie",10002,"brooklyn","brooklyn","new york",2015-07-07,2016-07-07,2015,2016
24563,"Yorkshire Terrier Crossbreed",11520,"queens","queens","freeport",2015-07-09,2016-07-09,2015,2016
24583,"American Pit Bull Mix / Pit Bull Mix",11694,"brooklyn","brooklyn","queens",2015-07-09,2016-07-09,2015,2016
24722,"Unknown",10502,"manhattan","manhattan","ardsley",2015-07-10,2016-08-14,2015,2016
24739,"American Pit Bull Terrier/Pit Bull",90802,"queens","queens","long beach",2015-07-10,2016-07-10,2015,2016
25100,"Chihuahua",10454,"manhattan","manhattan","bronx",2015-07-14,2016-07-14,2015,2016
25213,"Catahoula Leopard Dog",10950,"manhattan","manhattan","monroe",2015-07-15,2016-07-15,2015,2016
25351,"Miniature Pinscher",11001,"queens","queens","not nyc",2015-07-16,2016-08-03,2015,2016
25790,"Poodle, Toy",10151,"new york","unknown","new york",2015-07-20,2016-07-16,2015,2016
25979,"Shiba Inu",10016,"brooklyn","brooklyn","new york",2015-07-22,2016-08-13,2015,2016
26059,"Unknown",10021,"new york","unknown","new york",2015-07-22,2016-06-18,2015,2016
26164,"Labrador Retriever",10314,"brooklyn","brooklyn","staten",2015-07-23,2016-07-03,2015,2016
26571,"Dalmatian",11001,"queens","queens","not nyc",2015-07-26,2016-08-30,2015,2016
26577,"Labrador Retriever",11377,"manhattan","manhattan","queens",2015-07-26,2016-07-26,2015,2016
26656,"Chihuahua",11375,"brooklyn","brooklyn","queens",2015-07-27,2016-07-27,2015,2016
27063,"Maltese",11040,"queens","queens","new hyde park",2015-07-30,2020-09-06,2015,2020
27105,"Shih Tzu",11040,"queens","queens","new hyde park",2015-07-30,2016-07-30,2015,2016
27123,"Unknown",11050,"manhattan","manhattan","port washington",2015-07-30,2016-08-31,2015,2016
27216,"Maltese",10705,"bronx","bronx","yonkers",2015-07-31,2016-07-31,2015,2016
27283,"Chihuahua",10156,"brooklyn","brooklyn","new york",2015-07-31,2016-05-23,2015,2016
27347,"Bullmastiff",11944,"manhattan","manhattan","greenport",2015-08-01,2016-08-01,2015,2016
27378,"Pembroke Welsh Corgi",11944,"manhattan","manhattan","greenport",2015-08-01,2016-08-01,2015,2016
27535,"American Staffordshire Terrier",8110,"manhattan","manhattan","pennsauken",2015-08-02,2016-08-02,2015,2016
27658,"American Pit Bull Mix / Pit Bull Mix",10032,"new york","unknown","new york",2015-08-03,2016-08-03,2015,2016
27661,"German Shepherd Dog",11040,"queens","queens","new hyde park",2015-08-03,2016-08-03,2015,2016
27935,"Beagle",11580,"queens","queens","valley stream",2015-08-05,2016-07-01,2015,2016
28162,"Bichon Frise",11005,"queens","queens","not nyc",2015-08-06,2016-08-06,2015,2016
28194,"French Bulldog",11550,"queens","queens","hempstead",2015-08-07,2017-08-07,2015,2017
28240,"Chihuahua",11550,"queens","queens","hempstead",2015-08-07,2017-08-07,2015,2017
28294,"Vizsla",91607,"brooklyn","brooklyn","valley village",2015-08-07,2016-08-28,2015,2016
28628,"Australian Shepherd",11305,"queens","queens",NA,2015-08-11,2016-08-11,2015,2016
28766,"Rat Terrier",10457,"manhattan","manhattan","bronx",2015-08-11,2016-08-11,2015,2016
28840,"German Shepherd Dog",10512,"bronx","bronx","carmel",2015-08-12,2016-08-12,2015,2016
28863,"American Pit Bull Mix / Pit Bull Mix",10475,"manhattan","manhattan","bronx",2015-08-12,2016-08-12,2015,2016
29019,"Unknown",11336,"queens","queens",NA,2015-08-13,2016-07-30,2015,2016
29288,"Maltipoo",11220,"queens","queens","brooklyn",2015-08-14,2016-08-14,2015,2016
29513,"American Pit Bull Terrier/Pit Bull",11378,"manhattan","manhattan","queens",2015-08-16,2016-08-16,2015,2016
29554,"Beagle Crossbreed",14420,"manhattan","manhattan","brockport",2015-08-16,2016-08-16,2015,2016
29948,"Pomeranian",11375,"manhattan","manhattan","queens",2015-08-18,2016-09-11,2015,2016
30466,"Pomeranian",10805,"bronx","bronx","new rochelle",2015-08-24,2016-08-24,2015,2016
30722,"Schnauzer, Miniature",11050,"queens","queens","port washington",2015-08-25,2017-09-29,2015,2017
30966,"Cairn Terrier",10463,"manhattan","manhattan","bronx",2015-08-27,2016-08-27,2015,2016
31026,"Unknown",11001,"queens","queens","not nyc",2015-08-27,2016-09-09,2015,2016
31048,"Brussels Griffon",11096,"queens","queens","inwood",2015-08-27,2016-08-26,2015,2016
31284,"Labrador Retriever",7675,"manhattan","manhattan","westwood",2015-08-30,2016-08-19,2015,2016
31307,"Labrador Retriever",11355,"brooklyn","brooklyn","queens",2015-08-30,2016-08-30,2015,2016
31327,"Boston Terrier",11413,"brooklyn","brooklyn","queens",2015-08-30,2016-08-30,2015,2016
31845,"Chihuahua Crossbreed",10036,"staten island","staten","new york",2015-09-04,2016-09-04,2015,2016
31942,"Catahoula Leopard Dog",11385,"brooklyn","brooklyn","queens",2015-09-05,2016-09-05,2015,2016
32215,"Yorkshire Terrier",10025,"new york","unknown","new york",2015-09-08,2016-09-06,2015,2016
32236,"Shiba Inu",12601,"queens","queens","poughkeepsie",2015-09-08,2016-09-08,2015,2016
32248,"Boston Terrier",11010,"queens","queens","franklin square",2015-09-08,2016-09-29,2015,2016
32256,"Shih Tzu",11001,"queens","queens","not nyc",2015-09-08,2016-08-02,2015,2016
32446,"Dachshund Smooth Coat",10583,"manhattan","manhattan","scarsdale",2015-09-09,2016-05-30,2015,2016
32448,"Unknown",11363,"manhattan","manhattan","queens",2015-09-09,2016-07-23,2015,2016
32454,"Siberian Husky",11706,"queens","queens","bay shore",2015-09-10,2020-09-12,2015,2020
32534,"Chihuahua",11003,"queens","queens","elmont",2015-09-10,2016-09-10,2015,2016
32935,"Morkie",10801,"manhattan","manhattan","new rochelle",2015-09-14,2016-09-14,2015,2016
32973,"Labrador Retriever Crossbreed",10550,"bronx","bronx","mount vernon",2015-09-14,2016-09-14,2015,2016
