"RowNumber","BreedName","ZipCode","Borough","cleaned_borough","supposed_borough","issued_year","expired_year"
4596,"Rhodesian Ridgeback",12143,"staten island","staten",NA,2015,2016
4670,"Chihuahua",11364,"brooklyn","brooklyn","queens",2015,2016
4876,"Labrador Retriever Crossbreed",10032,"new york","unknown","manhattan",2015,2016
5125,"American Pit Bull Terrier/Pit Bull",10460,"manhattan","manhattan","bronx",2015,2016
5230,"Chihuahua",11209,"bronx","bronx","brooklyn",2015,2016
5286,"American Pit Bull Mix / Pit Bull Mix",8527,"brooklyn","brooklyn",NA,2015,2016
5652,"American Pit Bull Mix / Pit Bull Mix",11210,"manhattan","manhattan","brooklyn",2015,2016
5816,"Boxer",10025,"new york","unknown","manhattan",2015,2017
6242,"Yorkshire Terrier",10262,"manhattan","manhattan",NA,2015,2016
6474,"American Pit Bull Mix / Pit Bull Mix",11238,"manhattan","manhattan","brooklyn",2015,2016
6948,"French Bulldog",10019,"queens","queens","manhattan",2015,2016
6979,"Unknown",10026,"new york city","unknown","manhattan",2015,2016
7027,"Yorkshire Terrier",11208,"queens","queens","brooklyn",2015,2016
7066,"Poodle, Miniature",10151,"new york","unknown","manhattan",2015,2016
7088,"Yorkshire Terrier",10021,"new york","unknown","manhattan",2015,2016
7124,"Lhasa Apso",11003,"queens","queens",NA,2015,2016
7840,"Unknown",10708,"manhattan","manhattan",NA,2015,2017
8026,"Shih Tzu",11386,"queens","queens",NA,2015,2016
8074,"Basenji",11001,"queens","queens",NA,2015,2016
8120,"Unknown",11212,"bronx","bronx","brooklyn",2015,2016
8244,"Labrador Retriever Crossbreed",11352,"queens","queens",NA,2015,2016
8311,"American Pit Bull Mix / Pit Bull Mix",11249,"manhattan","manhattan","brooklyn",2015,2016
8341,"American Pit Bull Mix / Pit Bull Mix",10927,"manhattan","manhattan",NA,2015,2016
8480,"Chihuahua",11385,"brooklyn","brooklyn","queens",2015,2016
8568,"American Pit Bull Terrier/Pit Bull",10034,"new york","unknown","manhattan",2015,2016
8747,"Unknown",10309,"brooklyn","brooklyn","staten",2015,2020
8913,"Labrador Retriever",10314,"brooklyn","brooklyn","staten",2015,2016
8926,"Wire Fox Terrier",11386,"queens","queens",NA,2015,2016
8970,"Poodle",10247,"manhattan","manhattan",NA,2015,2016
8971,"Beagle",10314,"brooklyn","brooklyn","staten",2015,2016
9282,"Bull Dog, English",10013,"queens","queens","manhattan",2015,2016
10058,"Unknown",10014,"new york","unknown","manhattan",2015,2016
10221,"Unknown",11431,"queens","queens",NA,2015,2016
10286,"American Pit Bull Terrier/Pit Bull",11545,"queens","queens",NA,2015,2016
10344,"Maltese",10025,"new york","unknown","manhattan",2015,2017
10376,"German Shepherd Crossbreed",10025,"new york","unknown","manhattan",2015,2016
10389,"Schnauzer, Standard",11354,"brooklyn","brooklyn","queens",2015,2016
10490,"Unknown",11001,"queens","queens",NA,2015,2016
10770,"West High White Terrier",10036,"new york","unknown","manhattan",2015,2016
10934,"Wheaton Terrier",11109,"manhattan","manhattan","queens",2015,2016
11037,"American Pit Bull Terrier/Pit Bull",10465,"manhattan","manhattan","bronx",2015,2016
11333,"Australian Shepherd",11109,"manhattan","manhattan","queens",2015,2016
11385,"Unknown",10463,"new york","unknown","bronx",2015,2016
11391,"Unknown",11375,"manhattan","manhattan","queens",2015,2016
12102,"American Staffordshire Terrier",11415,"brooklyn","brooklyn","queens",2015,2016
12414,"Rottweiler",10463,"manhattan","manhattan","bronx",2015,2016
12681,"Labrador Retriever",11040,"queens","queens",NA,2015,2016
12863,"Pomeranian",11001,"queens","queens",NA,2015,2016
13207,"Shih Tzu",10463,"manhattan","manhattan","bronx",2015,2016
13219,"Australian Shepherd",11694,"brooklyn","brooklyn","queens",2015,2016
13339,"American Pit Bull Terrier/Pit Bull",10704,"bronx","bronx",NA,2015,2016
13727,"Shiba Inu",11249,"manhattan","manhattan","brooklyn",2015,2016
13778,"Poodle, Standard",11003,"queens","queens",NA,2015,2016
13812,"West Highland White Terrier",11691,"manhattan","manhattan","queens",2015,2016
13936,"Maltese",11001,"queens","queens",NA,2015,2016
14409,"Golden Retriever",11509,"queens","queens",NA,2015,2016
14551,"Papillon",11010,"queens","queens",NA,2015,2016
14567,"Australian Shepherd",10707,"manhattan","manhattan",NA,2015,2016
14599,"Golden Retriever",10028,"queens","queens","manhattan",2015,2020
14898,"Unknown",11356,"bronx","bronx","queens",2015,2016
15077,"Yorkshire Terrier",10009,"queens","queens","manhattan",2015,2016
15264,"Cairn Terrier",11210,"manhattan","manhattan","brooklyn",2015,2016
15410,"American Pit Bull Mix / Pit Bull Mix",11518,"queens","queens",NA,2015,2016
15521,"Bichon Frise",11373,"staten island","staten","queens",2015,2016
15555,"Unknown",10068,"manhattan","manhattan",NA,2015,2016
15801,"Staffordshire Bull Terrier",10031,"bronx","bronx","manhattan",2015,2016
15871,"Schnauzer, Miniature",11023,"queens","queens",NA,2015,2016
