"row_number","breed_name","zip_code","borough","cleaned_borough","final_borough","issued_year","expired_year","pit_bull"
1686,"german shepherd crossbreed",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1689,"boston terrier",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1707,"yorkshire terrier",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1708,"yorkshire terrier",10304,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1717,"shetland sheepdog",10308,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1718,"unknown",10301,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1724,"unknown",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1731,"jack russell terrier",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1740,"beagle",10308,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1745,"yorkshire terrier",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1746,"cavalier king charles spaniel",10305,"staten island","Staten Island","Staten Island",2014,2019,FALSE
1752,"unknown",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1763,"labrador retriever",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1768,"unknown",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1770,"maltese",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1778,"poodle, standard",10307,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1780,"puggle",10309,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1781,"unknown",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1784,"shih tzu",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1786,"puggle",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1787,"pug",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1811,"labrador retriever",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1813,"cocker spaniel",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1825,"labrador retriever",10314,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1827,"poodle, standard",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1829,"cocker spaniel",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1835,"wheaton terrier",10314,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1845,"labrador retriever",10310,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1850,"shiba inu",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1856,"pug",10312,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1860,"unknown",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1862,"shiba inu",10301,"staten is","Staten Island","Staten Island",2014,2016,FALSE
1865,"german shepherd crossbreed",10309,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1872,"pomeranian",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1873,"shih tzu",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1876,"jack russell terrier",10310,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1882,"pomeranian",10314,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1883,"unknown",10305,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1899,"jack russell terrier",10310,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1901,"unknown",10306,"staten island","Staten Island","Staten Island",2014,2016,FALSE
1915,"maltese",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
1926,"beagle crossbreed",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
1927,"chihuahua",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
1952,"maltese",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
1958,"maltese",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
1976,"bull dog, french",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2033,"golden retriever",10305,"staten is","Staten Island","Staten Island",2015,2016,FALSE
2040,"beagle",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2043,"greyhound",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2052,"bull terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2077,"yorkshire terrier",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2078,"doberman pinscher",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2102,"shih tzu",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2105,"unknown",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2135,"toy fox terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2136,"jack russell terrier",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2147,"american staffordshire terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2149,"american pit bull mix / pit bull mix",10309,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2205,"german shepherd crossbreed",10302,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2233,"german shepherd dog",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2266,"puggle",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2270,"pomeranian",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2287,"unknown",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2317,"labrador retriever crossbreed",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2323,"pug",10309,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2366,"yorkshire terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2373,"german shepherd dog",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2375,"maltese",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2378,"siberian husky",10301,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2382,"german shepherd crossbreed",10310,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2398,"american staffordshire terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2406,"american pit bull mix / pit bull mix",10304,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2412,"shiba inu",10308,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2413,"boxer",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2414,"labrador retriever",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2416,"yorkshire terrier",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2428,"american pit bull terrier/pit bull",10301,"staten island","Staten Island","Staten Island",2015,2017,TRUE
2433,"australian shepherd",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2447,"american pit bull mix / pit bull mix",10306,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2454,"cocker spaniel",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2484,"maltese",10314,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2496,"pekingese",10305,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2498,"pug",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2527,"staffordshire bull terrier",10304,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2530,"yorkshire terrier",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2541,"american pit bull terrier/pit bull",10303,"staten island","Staten Island","Staten Island",2015,2016,TRUE
2545,"maltese",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2556,"poodle, standard",10312,"staten island","Staten Island","Staten Island",2015,2018,FALSE
2575,"beagle",10312,"staten island","Staten Island","Staten Island",2015,2016,FALSE
2577,"unknown",10306,"staten island","Staten Island","Staten Island",2015,2016,FALSE
