"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
4925,2017-06-28,"DOG","Chihuahua",NA,"U",FALSE,"Manhattan","10031",FALSE,TRUE,"10031"
4926,2017-06-27,"DOG","American Pit Bull Mix / Pit Bull Mix",4,"M",TRUE,"Manhattan",NA,TRUE,NA,"10002"
4927,2017-06-29,"DOG","UNKNOWN",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10027"
4928,2017-06-30,"DOG","Pit Bull",2,"M",FALSE,"Manhattan",NA,TRUE,NA,"10024"
4929,2017-06-29,"DOG","Bull dog",NA,"U",FALSE,"Manhattan","10128",FALSE,TRUE,"10128"
4930,2017-06-29,"DOG","Miniature Pinscher",2,"M",TRUE,"Manhattan",NA,FALSE,NA,"10026"
4931,2017-06-29,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10009",TRUE,TRUE,"10009"
4932,2017-06-28,"DOG","Shih Tzu",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10029"
4933,2017-06-28,"DOG","German Shepherd",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10036"
4934,2017-05-18,"DOG","Akita",5,"M",TRUE,"Manhattan",NA,FALSE,NA,"10029"
4935,2017-06-30,"DOG","Bichon Frise",6,"M",TRUE,"Manhattan","10029",FALSE,TRUE,"10029"
4936,2017-07-02,"DOG","American Pit Bull Mix / Pit Bull Mix",4,"M",FALSE,"Manhattan","10029",TRUE,TRUE,"10029"
4937,2017-07-03,"DOG","Collie, Border",NA,"U",FALSE,"Manhattan","10019",FALSE,TRUE,"10019"
4938,2017-07-04,"DOG","PUGGLE",6,"M",TRUE,"Manhattan","10028",FALSE,TRUE,"10028"
4939,2017-07-04,"DOG","Jack Russ",2,"F",FALSE,"Manhattan","10029",FALSE,TRUE,"10029"
4940,2017-07-03,"DOG","Maltese",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10016"
4941,2017-06-14,"DOG","Bull dog",2,"M",TRUE,"Manhattan","10025",FALSE,TRUE,"10025"
4942,2017-06-27,"DOG","Poodle, Standard",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
4943,2017-07-05,"DOG","Labrador Retriever",15,"F",FALSE,"Manhattan",NA,FALSE,NA,"10030"
4944,2017-07-05,"DOG","Golden Retriever",NA,"U",FALSE,"Manhattan","10019",FALSE,TRUE,"10019"
4945,2017-07-07,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10016"
4946,2017-07-06,"DOG","Tibetan Terrier",5,"M",TRUE,"Manhattan","10065",FALSE,TRUE,"10065"
4947,2017-07-09,"DOG","PIT BULL MIX",3,"M",TRUE,"Manhattan","10025",TRUE,TRUE,"10025"
4948,2017-06-20,"DOG","TERRIER",NA,"M",FALSE,"Manhattan","10002",FALSE,TRUE,"10002"
4949,2017-07-09,"DOG","Yorkshire Terrier",8,"M",FALSE,"Manhattan","10011",FALSE,TRUE,"10011"
4950,2017-07-08,"DOG","RETREIVER",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10039"
4951,2017-07-10,"DOG","Shih Tzu",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10027"
4952,2017-07-02,"DOG","Shih Tzu",8,"M",TRUE,"Manhattan","10013",FALSE,TRUE,"10013"
4953,2017-07-08,"DOG","TERRIER",1,"F",TRUE,"Manhattan","10013",FALSE,TRUE,"10013"
4954,2017-07-08,"DOG","Chihuahua",3,"F",TRUE,"Manhattan","10033",FALSE,TRUE,"10033"
4955,2017-07-07,"DOG","Pit Bull",1,"M",FALSE,"Manhattan","10029",TRUE,TRUE,"10029"
4956,2017-07-03,"DOG","SHIH TZU/ COCKER SPANIEL",4,"M",TRUE,"Manhattan","10029",FALSE,TRUE,"10029"
4957,2017-07-13,"DOG","American Pit Bull Mix / Pit Bull Mix",4,"M",FALSE,"Manhattan","10039",TRUE,TRUE,"10039"
4958,2017-07-06,"DOG","American Pit Bull Mix / Pit Bull Mix",3,"F",FALSE,"Manhattan",NA,TRUE,NA,"10027"
4959,2017-07-11,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10026",TRUE,TRUE,"10026"
4960,2017-07-15,"DOG","Yorkshire Terrier",5,"M",TRUE,"Manhattan","10030",FALSE,TRUE,"10030"
4961,2017-07-03,"DOG","Maltese",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10031"
4962,2017-07-07,"DOG","Jack Russ",NA,"U",FALSE,"Manhattan","10065",FALSE,TRUE,"10065"
4963,2017-07-15,"DOG","American Pit Bull Terrier/Pit Bull",4,"M",FALSE,"Manhattan",NA,TRUE,NA,"10026"
4964,2017-07-16,"DOG","CHIHUAHUA SH/ RAT TERRIER",3,"M",TRUE,"Manhattan",NA,FALSE,NA,"10003"
4965,2017-07-18,"DOG","TERRIER MIX",11,"M",TRUE,"Manhattan","10026",FALSE,TRUE,"10026"
4966,2017-07-16,"DOG","Schnauzer, Miniature",13,"F",TRUE,"Manhattan",NA,FALSE,FALSE,"10029"
4967,2017-07-17,"DOG","SHEPHERD",NA,"U",FALSE,"Manhattan","10028",FALSE,TRUE,"10028"
4968,2017-07-17,"DOG","Dachshund Smooth Coat",4,"M",FALSE,"Manhattan","10010",FALSE,TRUE,"10010"
4969,2017-07-17,"DOG","Boxer",NA,"U",FALSE,"Manhattan","10033",FALSE,TRUE,"10033"
4970,2017-07-19,"DOG","MINIATURE LABRADOODLE",9,"F",TRUE,"Manhattan","10028",FALSE,TRUE,"10028"
4971,2017-07-19,"DOG","Shih Tzu",4,"M",FALSE,"Manhattan","10016",FALSE,TRUE,"10016"
4972,2017-07-21,"DOG","Bull dog",NA,"M",FALSE,"Manhattan","10075",FALSE,TRUE,"10075"
4973,2017-07-22,"DOG","Bull Dog, English",3,"M",FALSE,"Manhattan","10019",FALSE,TRUE,"10019"
4974,2017-07-20,"DOG","Bull Terrier",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
4975,2017-07-24,"DOG","PARSON RUSSELL TERRIER",12,"F",FALSE,"Manhattan","10065",FALSE,TRUE,"10065"
4976,2017-07-24,"DOG","Labrador Retriever Crossbreed",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
4977,2017-07-06,"DOG","Cane Corso",NA,"U",FALSE,"Manhattan","10030",FALSE,TRUE,"10030"
4978,2017-07-06,"DOG","Cane Corso",NA,"U",FALSE,"Manhattan","10030",FALSE,TRUE,"10030"
4979,2017-07-20,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10009",TRUE,TRUE,"10009"
4980,2017-07-24,"DOG","Bull Terrier",NA,"M",FALSE,"Manhattan",NA,FALSE,NA,"10065"
4981,2017-07-22,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan",NA,TRUE,NA,"10065"
4982,2017-07-21,"DOG","German Shepherd",1,"M",FALSE,"Manhattan","10034",FALSE,TRUE,"10034"
4983,2017-07-22,"DOG","American Pit Bull Mix / Pit Bull Mix",7,"M",FALSE,"Manhattan",NA,TRUE,NA,"10029"
4984,2017-07-22,"DOG","American Pit Bull Mix / Pit Bull Mix",7,"M",FALSE,"Manhattan",NA,TRUE,NA,"10026"
4985,2017-07-25,"DOG","Pit Bull",1,"F",FALSE,"Manhattan","10003",TRUE,TRUE,"10003"
4986,2017-07-27,"DOG","Australian Shepherd",5,"F",TRUE,"Manhattan",NA,FALSE,NA,"10016"
4987,2017-07-26,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10128"
4988,2017-07-21,"DOG","American Pit Bull Mix / Pit Bull Mix",1,"M",FALSE,"Manhattan","10029",TRUE,TRUE,"10029"
4989,2017-07-16,"DOG","Pit Bull",NA,"M",FALSE,"Manhattan","10031",TRUE,TRUE,"10031"
4990,2017-07-30,"DOG","Yorkshire Terrier Crossbreed",2,"M",FALSE,"Manhattan","10029",FALSE,TRUE,"10029"
4991,2017-07-27,"DOG","Great Dane",NA,"U",FALSE,"Manhattan","10032",FALSE,TRUE,"10032"
4992,2017-07-28,"DOG","American Pit Bull Mix / Pit Bull Mix",NA,"U",FALSE,"Manhattan","10012",TRUE,TRUE,"10012"
4993,2017-07-29,"DOG","Chihuahua",NA,"U",FALSE,"Manhattan","10128",FALSE,TRUE,"10128"
4994,2017-08-02,"DOG","TERRIER MIX",NA,"F",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
4995,2017-07-12,"DOG","Havanese",5,"M",TRUE,"Manhattan",NA,FALSE,NA,"10029"
4996,2017-08-03,"DOG","Labrador Retriever",NA,"U",FALSE,"Manhattan","10019",FALSE,TRUE,"10019"
4997,2017-08-02,"DOG","American Pit Bull Terrier/Pit Bull",NA,"M",FALSE,"Manhattan","10128",TRUE,TRUE,"10128"
4998,2017-08-02,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan",NA,TRUE,NA,"10029"
