"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull"
87,2015-03-25,"DOG","TERRIER",5,"M",FALSE,"Brooklyn","11027",FALSE
88,2015-03-29,"DOG","Pit Bull",1,"M",FALSE,"Brooklyn","11224",TRUE
89,2015-03-20,"DOG","HARRIER/BEAGLE",10,"M",TRUE,"Brooklyn","11235",FALSE
90,2015-03-27,"DOG","TERRIER",NA,"U",FALSE,"Brooklyn","11215",FALSE
91,2015-03-28,"DOG","Dachshund, Long Haired Miniature",4,"M",TRUE,"Brooklyn","11234",FALSE
92,2015-03-29,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11217",TRUE
93,2015-03-24,"DOG","BOXER X W/ PIT BULL",8,"M",TRUE,"Brooklyn","11231",TRUE
94,2015-03-31,"DOG","Cocker Spaniel",3,"F",FALSE,"Brooklyn",NA,FALSE
95,2015-04-03,"DOG","Yorkshire Terrier",6,"M",TRUE,"Brooklyn","11233",FALSE
96,2015-04-02,"DOG","Chihuahua",NA,"U",FALSE,"Brooklyn",NA,FALSE
97,2015-04-06,"DOG","Bull dog",8,"M",FALSE,"Brooklyn","11213",FALSE
98,2015-04-06,"DOG","American Staffordshire Terrier",NA,"U",FALSE,"Brooklyn","11224",FALSE
99,2015-04-06,"DOG","American Pit Bull Terrier/Pit Bull",4,"F",TRUE,"Brooklyn","11212",TRUE
100,2015-03-31,"DOG","PITBULL/LAB RETRIEVER",5,"F",TRUE,"Brooklyn",NA,TRUE
101,2015-03-27,"DOG","BOXER/RHODESIAN RIDGEBACK X",5,"F",FALSE,"Brooklyn","11214",FALSE
102,2015-04-06,"DOG","Chihuahua Crossbreed",4,"M",FALSE,"Brooklyn","11205",FALSE
103,2015-04-06,"DOG","Poodle, Standard",2,"M",FALSE,"Brooklyn","11213",FALSE
104,2015-04-07,"DOG","American Pit Bull Terrier/Pit Bull",NA,"U",FALSE,"Brooklyn","11231",TRUE
105,2015-04-01,"DOG","Bull Terrier",1,"M",FALSE,"Brooklyn","11201",FALSE
106,2015-04-08,"DOG","CATAHOULA LEOPARD DOG",1,"M",TRUE,"Brooklyn","11235",FALSE
107,2015-04-06,"DOG","Yorkshire Terrier",6,"F",FALSE,"Brooklyn","11219",FALSE
108,2015-04-10,"DOG","Cocker Spaniel Crossbreed",5,"M",TRUE,"Brooklyn","11206",FALSE
109,2015-04-03,"DOG","BOXER/HOUND/PITBULL",6,"F",TRUE,"Brooklyn","11216",TRUE
110,2015-04-12,"DOG","German Shepherd",11,"F",TRUE,"Brooklyn","11209",FALSE
111,2015-04-10,"DOG","Bull Dog, English",9,"M",FALSE,"Brooklyn","11220",FALSE
112,2015-04-10,"DOG","American Pit Bull Terrier/Pit Bull",6,"M",FALSE,"Brooklyn","11224",TRUE
113,2015-04-12,"DOG","Chihuahua",9,"F",TRUE,"Brooklyn","11224",FALSE
114,2015-04-13,"DOG","Pit Bull",9,"M",FALSE,"Brooklyn","11207",TRUE
